r_target,r_prime,beta,n_coeff,n_trotter_steps,state_prep_method,snap_depth,valid,error,fidelity,fidelity_vs_truncated,postselection_probability,rel_error_vs_exact,rel_error_vs_truncated,oracle_fidelity,coeff_backend_gap,circuit_depth,circuit_size,score,source
1.1,0.05,0.8,12,8,injection,0,True,,0.7017862736294999,0.9999841045210052,0.2599251969469575,0.6518705784534876,0.003986945154524449,1.0,4.134431502480442e-08,122,180,0.42709710299628484,grid
1.1,0.05,0.8,12,16,injection,0,True,,0.7007839161537389,0.9999960104521689,0.25990257005366274,0.6534320081682713,0.0019973892329923923,1.0,4.134431502480442e-08,242,356,0.42677340692764265,grid
1.1,0.05,0.8,12,32,injection,0,True,,0.7002653913295341,0.9999990005916687,0.2598903619248712,0.6542400315466089,0.0009997046216283563,1.0,4.134431502480442e-08,482,708,0.4266054687836224,grid
1.1,0.1,0.6,8,8,injection,0,True,,0.6950230225613298,0.9999776147517252,0.3128679056277092,0.6624207568839825,0.004731358091019237,1.0,5.4881443370335165e-08,122,180,0.46631577008696945,grid
1.1,0.1,0.6,8,16,injection,0,True,,0.69385853674042,0.9999943991045376,0.31284517117141986,0.6642408931499398,0.0023666277341959025,1.0,5.4881443370335165e-08,242,356,0.465908030297083,grid
1.1,0.1,0.6,8,32,injection,0,True,,0.6932560041070372,0.9999985990292544,0.31283569508851655,0.665183113502354,0.0011836269294946136,1.0,5.4881443370335165e-08,482,708,0.46569864066702243,grid
1.1,0.1,0.6,12,8,injection,0,True,,0.6875335784490395,0.9999791669180351,0.29787920097952336,0.6741471768146695,0.004564374654972104,1.0,1.1779935681366189e-07,122,180,0.45255049772925043,grid
1.1,0.1,0.6,12,16,injection,0,True,,0.6864099755423333,0.9999947790199665,0.2978657266141704,0.6759107072721849,0.0022849523610983117,1.0,1.1779935681366189e-07,242,356,0.4521703286596015,grid
1.1,0.1,0.6,12,32,injection,0,True,,0.6858306532481242,0.9999986931070632,0.29785927107831167,0.6768204283917266,0.0011431949285694398,1.0,1.1779935681366189e-07,482,708,0.4519745772271363,grid
1.1,0.1,0.7,8,8,injection,0,True,,0.6982632340994557,0.9999801818501466,0.30799691083418396,0.6573618978081602,0.004451802176716058,1.0,4.8453434137689e-08,122,180,0.463748767170026,grid
1.1,0.1,0.7,8,16,injection,0,True,,0.6971593984736777,0.9999950384383777,0.3079695890968775,0.6590843612370855,0.0022274618380112264,1.0,4.8453434137689e-08,242,356,0.46336151489195215,grid
1.1,0.1,0.7,8,32,injection,0,True,,0.696587433317668,0.9999987585545882,0.3079570935689609,0.6599772487919596,0.0011142023841475034,1.0,4.8453434137689e-08,482,708,0.4631620033866891,grid
1.1,0.1,0.7,12,8,injection,0,True,,0.6908175125085161,0.999982180101881,0.2915773849622132,0.6689994707159874,0.004221399729202775,1.0,1.0398779858720542e-07,122,180,0.4488059310919745,grid
1.1,0.1,0.7,12,16,injection,0,True,,0.6897734646797159,0.9999955316763262,0.2915600509580728,0.6706350223207665,0.0021138456992375386,1.0,1.0398779858720542e-07,242,356,0.4484533270158048,grid
1.1,0.1,0.7,12,32,injection,0,True,,0.6892341232848276,0.9999988812027264,0.2915509552402669,0.6714803024596334,0.0010577327287807133,1.0,1.0398779858720542e-07,482,708,0.44827097500047824,grid
1.1,0.1,0.8,8,8,injection,0,True,,0.7016471603566886,0.9999830468120711,0.29672178816710953,0.6520872397731212,0.004117459816992025,1.0,4.1815547709794386e-08,122,180,0.4562828071310723,grid
1.1,0.1,0.8,8,16,injection,0,True,,0.7006194537772334,0.9999957526240574,0.2966918819862796,0.6536882704516676,0.0020609206638818474,1.0,4.1815547709794386e-08,242,356,0.45592554687949505,grid
1.1,0.1,0.8,8,32,injection,0,True,,0.7000862604579562,0.9999989368516516,0.2966772812201798,0.6545192193597631,0.0010310914015107622,1.0,4.1815547709794386e-08,482,708,0.4557408127129598,grid
1.1,0.1,0.8,12,8,injection,0,True,,0.6977218413689358,0.9999849701395056,0.2758921283940699,0.6582065880258701,0.003876865537330551,1.0,8.973528421017982e-08,122,180,0.43874361971692,grid
1.1,0.1,0.8,12,16,injection,0,True,,0.6967620327148432,0.9999962318894015,0.27587003573800195,0.6597046566293833,0.0019411658345090655,1.0,8.973528421017982e-08,242,356,0.4384241859956253,grid
1.1,0.1,0.8,12,32,injection,0,True,,0.6962645062433565,0.9999990565692576,0.2758584404277514,0.6604814800145942,0.0009713040887760943,1.0,8.973528421017982e-08,482,708,0.4382584178512612,grid
1.1,0.2,0.6,8,8,injection,0,True,,0.6821118761325514,0.9999788354893349,0.3592547998793253,0.6826676860538914,0.004600538947842063,1.0,2.5161633669192927e-07,122,180,0.4950272371852996,grid
1.1,0.2,0.6,8,16,injection,0,True,,0.6809899931264128,0.9999947041442792,0.35923613387280784,0.6844343351801118,0.002301278724321254,1.0,2.5161633669192927e-07,242,356,0.4946071292822239,grid
1.1,0.2,0.6,8,32,injection,0,True,,0.6804102465250108,0.9999986752928121,0.3592289267486438,0.6853477649239623,0.0011509600091652444,1.0,2.5161633669192927e-07,482,708,0.4943915883264599,grid
1.1,0.2,0.6,12,8,injection,0,True,,0.672406942617182,0.9999806079654507,0.33140271951970096,0.6979932940750149,0.004403681483439812,1.0,4.918499139871453e-07,122,180,0.4720566591069992,grid
1.1,0.2,0.6,12,16,injection,0,True,,0.671368542155868,0.9999951525488762,0.3313959023563083,0.6996391004390025,0.0022016981223168383,1.0,4.918499139871453e-07,242,356,0.47168716734863914,grid
1.1,0.2,0.6,12,32,injection,0,True,,0.6708317596148229,0.9999987881471631,0.33139392324760186,0.7004903474275708,0.0011008425436165828,1.0,4.918499139871453e-07,482,708,0.47149715657451036,grid
1.1,0.2,0.7,8,8,injection,0,True,,0.686396005304869,0.9999820947150047,0.3524127757757135,0.6759326413351542,0.0042315015775735015,1.0,2.2168983139006425e-07,122,180,0.49182793892869714,grid
1.1,0.2,0.7,8,16,injection,0,True,,0.6853525552249666,0.9999955157086023,0.3523881072132521,0.6775714314139697,0.002117619301649036,1.0,2.2168983139006425e-07,242,356,0.4914367606411753,grid
1.1,0.2,0.7,8,32,injection,0,True,,0.6848125053813614,0.9999988777820055,0.35237672330894493,0.6784200082609546,0.001059348504588099,1.0,2.2168983139006425e-07,482,708,0.49123516438389603,grid
1.1,0.2,0.7,12,8,injection,0,True,,0.6777526113576526,0.9999841256802234,0.32280121752371344,0.6895394268810279,0.003984290623751878,1.0,4.340319680755859e-07,122,180,0.46773856814050135,grid
1.1,0.2,0.7,12,16,injection,0,True,,0.6768024461008876,0.9999960308741792,0.3227858625318876,0.6910398186972463,0.0019922704571673036,1.0,4.340319680755859e-07,242,356,0.4673994665469425,grid
1.1,0.2,0.7,12,32,injection,0,True,,0.6763095386423943,0.9999990075556042,0.3227790335491657,0.6918185367793134,0.0009962155290941987,1.0,4.340319680755859e-07,482,708,0.46722429224417916,grid
1.1,0.2,0.8,8,8,injection,0,True,,0.6924521583010725,0.999985456821666,0.3375443344524832,0.6664406129781126,0.003813579662321909,1.0,1.9101717894741382e-07,122,180,0.4834597221216273,grid
