stage,r_target,r_prime,kernel_beta,disp_phase,theory_gamma,theory_ok,theory_reason,tail_mass_est,n_eff,post_prob,pde_error,fidelity,rho_purity,pauli_rmse,objective,feasible
coarse,0.3,0.15333333333333332,0.7999999999999999,0.0,0.1870842225542153,1,,6.718425903384784e-07,1.039829320931232,0.2801079826077831,0.28508526514594446,0.9865065905970926,0.9999999999999977,0.08213832662924954,0.28480515716333665,1
coarse,0.3,0.15333333333333332,0.875,0.0,0.1870842225542153,1,,5.454078614297586e-07,1.0578316184363399,0.2781630703323661,0.28578892785878135,0.984398577499363,1.0,0.08832163523349558,0.285510764788449,1
coarse,0.3,0.15333333333333332,0.95,0.0,0.1870842225542153,1,,4.35178956981197e-07,1.1004342216162328,0.2735819587792451,0.2837841493523802,0.981148363618586,0.9999999999999992,0.0970866529998171,0.283510567393601,1
coarse,0.3,0.215,0.35,0.0,0.10169745862929014,1,,3.012256138967828e-06,1.307735203030009,0.2543882429195918,0.22806288134756922,0.9882085109181299,0.9999999999999989,0.0767837518029359,0.22780849310464962,1
coarse,0.3,0.215,0.425,0.0,0.10169745862929014,1,,2.6599152184170194e-06,1.2166849961700437,0.2624685565243736,0.24142620665197556,0.9895452094000687,1.0000000000000004,0.07230072821186384,0.2411637380954512,1
coarse,0.3,0.215,0.5,0.0,0.10169745862929014,1,,2.3189811771962e-06,1.1435819330094796,0.26939775713256,0.2540177457339359,0.990334725942786,1.0000000000000002,0.06951717074656572,0.2537483479768033,1
coarse,0.3,0.215,0.575,0.0,0.10169745862929014,1,,1.994726024912019e-06,1.088865834994664,0.2748640346771101,0.2651562898194987,0.9904825627013611,0.9999999999999991,0.06898346649248155,0.26488142578482154,1
coarse,0.3,0.215,0.6499999999999999,0.0,0.10169745862929014,1,,1.6915885503454575e-06,1.053174476863959,0.27851171536405306,0.27425545657137596,0.9898528931784897,1.000000000000001,0.0712288804541779,0.27397694485601193,1
coarse,0.3,0.215,0.725,0.0,0.10169745862929014,1,,1.413029787844522e-06,1.0378945220402542,0.2799255710207345,0.2808133408209286,0.9882550516027915,1.0000000000000007,0.07663207030091679,0.2805334152499079,1
coarse,0.3,0.215,0.7999999999999999,0.0,0.10169745862929014,1,,1.1613466913695802e-06,1.045813533943076,0.27860974312181896,0.2844174740360896,0.9854292877404351,1.000000000000001,0.08535429766439923,0.28413886429296775,1
coarse,0.3,0.215,0.875,0.0,0.10169745862929014,1,,9.374167250220111e-07,1.0820999381242937,0.2739590143889077,0.28477770902293864,0.9810363043661069,0.9999999999999996,0.09737478018946465,0.2845037500085497,1
coarse,0.3,0.215,0.95,0.0,0.10169745862929014,1,,7.406672473120324e-07,1.1560625994843285,0.26521801600226014,0.2818130346342985,0.9746623359473092,0.9999999999999993,0.11255590622595166,0.28154781661829625,1
coarse,0.3,0.27666666666666667,0.35,0.0,0.026218209970130357,0,gamma_too_small,nan,nan,nan,nan,nan,,,inf,0
coarse,0.3,0.27666666666666667,0.425,0.0,0.026218209970130357,0,gamma_too_small,nan,nan,nan,nan,nan,,,inf,0
coarse,0.3,0.27666666666666667,0.5,0.0,0.026218209970130357,0,gamma_too_small,nan,nan,nan,nan,nan,,,inf,0
coarse,0.3,0.27666666666666667,0.575,0.0,0.026218209970130357,0,gamma_too_small,nan,nan,nan,nan,nan,,,inf,0
coarse,0.3,0.27666666666666667,0.6499999999999999,0.0,0.026218209970130357,0,gamma_too_small,nan,nan,nan,nan,nan,,,inf,0
coarse,0.3,0.27666666666666667,0.725,0.0,0.026218209970130357,0,gamma_too_small,nan,nan,nan,nan,nan,,,inf,0
coarse,0.3,0.27666666666666667,0.7999999999999999,0.0,0.026218209970130357,0,gamma_too_small,nan,nan,nan,nan,nan,,,inf,0
coarse,0.3,0.27666666666666667,0.875,0.0,0.026218209970130357,0,gamma_too_small,nan,nan,nan,nan,nan,,,inf,0
coarse,0.3,0.27666666666666667,0.95,0.0,0.026218209970130357,0,gamma_too_small,nan,nan,nan,nan,nan,,,inf,0
coarse,0.3,0.3383333333333334,0.35,0.0,-0.04050310275183189,0,invalid_squeeze_gap;gamma_too_small,nan,nan,nan,nan,nan,,,inf,0
coarse,0.3,0.3383333333333334,0.425,0.0,-0.04050310275183189,0,invalid_squeeze_gap;gamma_too_small,nan,nan,nan,nan,nan,,,inf,0
coarse,0.3,0.3383333333333334,0.5,0.0,-0.04050310275183189,0,invalid_squeeze_gap;gamma_too_small,nan,nan,nan,nan,nan,,,inf,0
coarse,0.3,0.3383333333333334,0.575,0.0,-0.04050310275183189,0,invalid_squeeze_gap;gamma_too_small,nan,nan,nan,nan,nan,,,inf,0
coarse,0.3,0.3383333333333334,0.6499999999999999,0.0,-0.04050310275183189,0,invalid_squeeze_gap;gamma_too_small,nan,nan,nan,nan,nan,,,inf,0
coarse,0.3,0.3383333333333334,0.725,0.0,-0.04050310275183189,0,invalid_squeeze_gap;gamma_too_small,nan,nan,nan,nan,nan,,,inf,0
coarse,0.3,0.3383333333333334,0.7999999999999999,0.0,-0.04050310275183189,0,invalid_squeeze_gap;gamma_too_small,nan,nan,nan,nan,nan,,,inf,0
coarse,0.3,0.3383333333333334,0.875,0.0,-0.04050310275183189,0,invalid_squeeze_gap;gamma_too_small,nan,nan,nan,nan,nan,,,inf,0
coarse,0.3,0.3383333333333334,0.95,0.0,-0.04050310275183189,0,invalid_squeeze_gap;gamma_too_small,nan,nan,nan,nan,nan,,,inf,0
coarse,0.3,0.4,0.35,0.0,-0.09948267197680483,0,invalid_squeeze_gap;gamma_too_small,nan,nan,nan,nan,nan,,,inf,0
coarse,0.3,0.4,0.425,0.0,-0.09948267197680483,0,invalid_squeeze_gap;gamma_too_small,nan,nan,nan,nan,nan,,,inf,0
coarse,0.3,0.4,0.5,0.0,-0.09948267197680483,0,invalid_squeeze_gap;gamma_too_small,nan,nan,nan,nan,nan,,,inf,0
coarse,0.3,0.4,0.575,0.0,-0.09948267197680483,0,invalid_squeeze_gap;gamma_too_small,nan,nan,nan,nan,nan,,,inf,0
coarse,0.3,0.4,0.6499999999999999,0.0,-0.09948267197680483,0,invalid_squeeze_gap;gamma_too_small,nan,nan,nan,nan,nan,,,inf,0
