time,post_prob,scale_real,scale_imag,rel_error_best_scale,rel_error_eta_calibrated,shape_fidelity
0.4625,0.1045433352821043,-0.5714425239128557,-1.4737604375804844e-18,0.08946564859646072,0.2485736840258095,0.9920594546582793
0.47500000000000003,0.10300079111018057,-0.5723600637771605,-1.4860428522716137e-18,0.0878611446990851,0.2495613147264233,0.9923395546783912
0.48750000000000004,0.10153339772293793,-0.5733178243718842,-1.506902976236224e-18,0.08629807948343195,0.2506732278767102,0.9926076946258998
0.5,0.10013918228250906,-0.5743242057970749,-1.5362390230902986e-18,0.08475274690980264,0.25191368765937316,0.9928681998124557
0.5125000000000001,0.09881632987507992,-0.5753883233079391,-1.5735225797712717e-18,0.0831836396738246,0.2532806370230527,0.9931280327907923
0.525,0.09756278490304104,-0.5765187947116029,-1.6178360484591562e-18,0.08153124906671122,0.25476411460154663,0.9933965508276497
0.5375,0.0963760134614229,-0.5777226308509814,-1.6679382397258881e-18,0.07972351220153222,0.2563477561857785,0.9936843031507946
0.55,0.09525293291898819,-0.5790043203812294,-1.7223521308664206e-18,0.07768690443286855,0.2580132452871677,0.9940009506728074
0.5625,0.09418998067830306,-0.5803651772622617,-1.779467332322275e-18,0.07536176142046211,0.25974667087786085,0.9943526782867834
0.5750000000000001,0.09318326753470252,-0.581802992963357,-1.8376489883633095e-18,0.07271943854828061,0.2615450479636347,0.9947397003359484
0.5875,0.09222874897937267,-0.5833120076083794,-1.895344701344734e-18,0.06977849996995397,0.2634209783325749,0.9951545536096712
0.6000000000000001,0.09132235335854952,-0.584883187413893,-1.9511815838388153e-18,0.06661699610295549,0.2654036828320018,0.9955817830999654
0.6125,0.09046002752237002,-0.5865047717820339,-2.0040466337462076e-18,0.0633775356154363,0.2675354030603314,0.9959993574085015
0.625,0.08963769260151148,-0.5881630339321087,-2.0531451790933197e-18,0.06026094088985206,0.2698633087212468,0.9963817582175213
0.6375000000000001,0.08885113608007941,-0.5898431851545316,-2.0980340088002167e-18,0.05750332126512966,0.2724283065656676,0.9967042658234274
0.65,0.08809589208060685,-0.5915303452990871,-2.1386278351685698e-18,0.05533285664160202,0.2752531924732069,0.9969476205225098
0.6625000000000001,0.0873671724108911,-0.5932105010942198,-2.175179762632746e-18,0.05391055263696259,0.27833307117538997,0.9971020746928868
0.675,0.08665990311440327,-0.5948713789687042,-2.2082383145221203e-18,0.053273949257750086,0.2816306562474079,0.9971699184236902
0.6875,0.08596889664564214,-0.5965031694151153,-2.238585164504542e-18,0.053312265096850914,0.2850779756292282,0.9971658575830463
0.7000000000000001,0.08528915456303347,-0.5980990544601589,-2.2671589299259204e-18,0.05378910124793444,0.2885844561180106,0.9971150794336037
0.7125,0.0846162589501259,-0.5996555071238134,-2.2949711426562996e-18,0.054400256354909825,0.2920498318533676,0.997049344243438
0.7250000000000001,0.08394678232430113,-0.6011723503785603,-2.323020788670449e-18,0.054837481212705895,0.29537926610986376,0.997001866489471
0.7375,0.08327863321705103,-0.6026525815873234,-2.3522136068710637e-18,0.05483630366684314,0.29849772501949345,0.9970019948621668
0.75,0.08261126150595488,-0.6041019853428277,-2.3832917013391e-18,0.054202312272526754,0.30136097167660336,0.9970707152625692
0.7625000000000001,0.08194567256560865,-0.6055285718954947,-2.416778019208657e-18,0.05282015843375607,0.30396136521231265,0.9972177931343207
0.775,0.08128423643052196,-0.6069418890608154,-2.4529389709826006e-18,0.05065141754275068,0.3063277108472189,0.9974409991866446
0.7875000000000001,0.08063031850605108,-0.6083522620800558,-2.4917670278814055e-18,0.04772588551806485,0.30851950369971076,0.9977274162522114
0.8,0.07998779238708817,-0.6097700181490637,-2.5329836340237456e-18,0.044129122021392284,0.31061687582492575,0.9980564055055218
0.8125,0.07936051535495336,-0.6112047503394515,-2.5760613294441373e-18,0.03998805612395957,0.3127082520965535,0.9984035082290245
0.8250000000000001,0.07875184917332773,-0.6126646698259187,-2.620262692341636e-18,0.03545618812142943,0.3148780220152757,0.9987444371437891
0.8375,0.07816429354577388,-0.6141560863643526,-2.664692657864688e-18,0.03070014154562102,0.31719636073877144,0.9990583887764244
0.8500000000000001,0.07759927188831396,-0.6156830456838799,-2.7083600168370844e-18,0.02589002173484445,0.31971269905880323,0.9993301557666205
0.8625,0.07705707648552633,-0.6172471398194862,-2.7502434771348687e-18,0.021197639565685416,0.32245339804684736,0.9995508618925257
0.875,0.07653695078881798,-0.6188474934114452,-2.789357593270256e-18,0.016810555762405907,0.32542319288867244,0.9997174850522098
0.8875000000000001,0.07603726712582501,-0.6204809165853046,-2.8248141216465496e-18,0.012978707660462047,0.32860922214519317,0.999831581517028
0.9,0.07555575173518934,-0.6221422040477117,-2.8558749031909083e-18,0.010113916024065386,0.3319861558909869,0.9998977191650975
0.9125000000000001,0.07508971526526415,-0.6238245511759055,-2.881993156658344e-18,0.008828712929046087,0.3355211152268107,0.9999220599031486
0.925,0.07463626172806842,-0.6255200516319552,-2.9028410165926396e-18,0.009416113821559135,0.3391776040742257,0.9999113446609654
0.9375,0.07419246644401778,-0.6272202376672993,-2.9183221938742834e-18,0.011300967447018542,0.34291831727660305,0.9998723044429993
0.9500000000000001,0.07375552772202827,-0.628916623846179,-2.9285696963170032e-18,0.013736976908096821,0.34670720537770033,0.9998113310681098
0.9625,0.07332290359514958,-0.6306012172440855,-2.93392954797296e-18,0.016306939499912104,0.35051139971043666,0.9997341544168143
0.9750000000000001,0.07289244251583385,-0.6322669619204653,-2.9349323234296222e-18,0.018836468898580695,0.3543034847166049,0.9996453132867338
0.9875,0.0724625073601794,-0.6339080921271582,-2.932255014863704e-18,0.021280300324487644,0.3580642215137143,0.9995473537994667
1.0,0.07203207973887055,-0.6355203766974633,-2.9266762379234243e-18,0.02367336031036723,0.3617853374809675,0.9994398859152255
