boundary_condition,parameter,fidelity,x,median,q25,q75,count
periodic,r_prime,0.9838908658629107,4.25,0.893438014390451,0.7994828984828287,0.941215368570819,128
periodic,r_prime,0.9836294748049929,4.35,0.8852639508286879,0.8473424104868962,0.9250215422882345,128
periodic,r_prime,0.9992956504319845,4.5,0.8871174160785931,0.8294665692523008,0.9829190165378348,128
periodic,beta,0.9997249405374592,0.3,0.9000595806208866,0.7967951675504175,0.9614109440296768,96
periodic,beta,0.9991669828220496,0.5,0.8769270930120601,0.7758792037832027,0.9474135301365563,96
periodic,beta,0.9992951149408869,0.6,0.8671343984827256,0.776057872870004,0.9442095583493563,96
periodic,beta,0.9992956504319663,0.675,0.8662833627061117,0.7759291755739794,0.9441995722750387,96
periodic,beta,0.9992956504319843,0.725,0.8662929604118763,0.7759291155897011,0.9441995722605421,96
periodic,beta,0.9992956504319845,0.75,0.8662930091085461,0.775929115589653,0.9441995722605411,96
periodic,beta,0.9992956504319843,0.8,0.8662930091718962,0.775929115589655,0.9441995722605421,96
periodic,beta,0.9992956504310735,0.9,0.8662930091697693,0.7759291155907307,0.944199572236746,96
