r_target,r_prime,beta,fidelity,map_error,post_prob,eta_error,objective
0.2865714285714286,0.1368181818181818,0.638888888888889,0.8724333345999229,0.4774133530966097,0.5081575428650155,0.8510560551749893,0.850901247064179
0.4293571428571429,0.1368181818181818,0.9022222222222223,0.8730508894330344,0.47189223333758545,0.48222142728486106,0.8023827112775693,0.8577306302621205
0.2865714285714286,0.2731363636363636,0.638888888888889,0.8712623051586829,0.4737357253273378,0.48642083429777017,0.8399726792463791,0.8592630030197699
0.1437857142857143,0.0005,0.2,0.8716009649368163,0.49061400077229056,0.5059249337681267,0.9671719035006485,0.8660505689514109
0.2865714285714286,0.0005,0.4633333333333334,0.864526506291257,0.497257326773484,0.5240803702999858,0.9065627041801431,0.8706906353322341
0.4293571428571429,0.0005,0.7266666666666668,0.8626060665237968,0.4956164563346233,0.5147834016611722,0.864184641225502,0.8756186889802404
0.4293571428571429,0.40945454545454546,0.99,0.8877380852765152,0.4303492637998178,0.32480241180767666,0.6808256361309736,0.8802099726194642
0.1437857142857143,0.1368181818181818,0.2877777777777778,0.8720328641724485,0.4852484646151729,0.4658508818500165,0.9734066196257288,0.8802901595177162
0.4293571428571429,0.2731363636363636,0.9022222222222223,0.8655555880470815,0.48004794036002535,0.466145524890064,0.801573960928956,0.8814195898679118
0.2865714285714286,0.1368181818181818,0.5511111111111111,0.8564853799850844,0.5067188943151427,0.5269460430134041,0.911234796172195,0.8867604928233562
0.4293571428571429,0.1368181818181818,0.8144444444444445,0.8572198928744809,0.500428649046509,0.50926723154951,0.856888000135232,0.888575140397273
0.5721428571428572,0.0005,0.99,0.8615035752151227,0.4935990572485395,0.48661541706234884,0.8354000641082369,0.8887877735022424
0.4293571428571429,0.40945454545454546,0.9022222222222223,0.8698864213437488,0.4650400829779769,0.3967691970826593,0.7532532669348873,0.8967690630928985
0.2865714285714286,0.0005,0.3755555555555556,0.852038487350336,0.5198392725746152,0.5343437886317148,0.9539750379983667,0.9006288909084217
0.4293571428571429,0.0005,0.638888888888889,0.8501618685106859,0.5175439875488967,0.5309191723668435,0.9072210493675232,0.9019225328547891
0.2865714285714286,0.2731363636363636,0.5511111111111111,0.8519160016444984,0.5094676487291192,0.5111513780608231,0.9176367139471789,0.9019759580542093
0.5721428571428572,0.0005,0.9022222222222223,0.8491515897337689,0.5149650170412586,0.5075628110285534,0.875627302705773,0.912032021793213
0.4293571428571429,0.2731363636363636,0.8144444444444445,0.8460485579102465,0.5145650728381588,0.5044688406003399,0.8694743385100623,0.9162820946277423
0.5721428571428572,0.1368181818181818,0.99,0.8474531556491477,0.5138132815826412,0.4970847823575213,0.8592549926280861,0.9178177347547328
0.4293571428571429,0.1368181818181818,0.7266666666666668,0.8410236989991903,0.5284119222966711,0.5334009307954604,0.9119462299562967,0.9206877578997507
0.4293571428571429,0.40945454545454546,0.8144444444444445,0.84966651091032,0.5019537360320856,0.4571374116323813,0.8305573359325614,0.923718519305575
0.2865714285714286,0.1368181818181818,0.4633333333333334,0.8400352218259938,0.5357098791338328,0.5423311568850433,0.9729233283465226,0.9245090788653174
0.4293571428571429,0.0005,0.5511111111111111,0.8375350580687584,0.5391437013991204,0.545293381732299,0.9507710781468224,0.9289619524642125
0.1437857142857143,0.1368181818181818,0.2,0.8560477732891212,0.5155755512090336,0.4597811687227384,1.0500356686651886,0.9296371935585432
0.2865714285714286,0.0005,0.2877777777777778,0.8393199674607835,0.5421561257740704,0.5426289347877697,1.002375293101384,0.931521690919402
0.5721428571428572,0.0005,0.8144444444444445,0.8366960468195946,0.5358903633756325,0.5268249335316315,0.9159828759963492,0.935781849790222
0.5721428571428572,0.2731363636363636,0.99,0.8368845085859915,0.5269265438346574,0.48805429420378005,0.8693191562675765,0.9460148881467759
0.5721428571428572,0.1368181818181818,0.9022222222222223,0.8313340544559759,0.5406643114149762,0.5254989859482623,0.9108524384763185,0.9465807639848691
0.2865714285714286,0.2731363636363636,0.4633333333333334,0.8315103481059508,0.545340910483745,0.5284058426624054,0.9986693374267551,0.9496276410465915
0.4293571428571429,0.2731363636363636,0.7266666666666668,0.8258322994862517,0.54868801474323,0.5378022069592423,0.9386507167815745,0.9539546117773572
